feature,Description
uniqueid__app,Unique ID
bigaccountid__app,Account ID
bigdebtorid__app,Debtor/Codebtor ID
bitdebtor__app,Debtor or Codebtor
strcity__app,City
strname__app,State
strzipcode__app,Zip
applicationdate__app,Application Date
bitapproved__app,Approval Given
bitsystemdecline__app,System Declined
approvaldate__app,Approval Date
bitfunded__app,Funded
fundeddate__app,Funding Date
dtmstampcreation__app,Application Date
dtmapproved__app,Approval Date
dtmdeclined__app,Declined Date
dtmfunded__app,Funded Date
defaultdate__app,Default Date
chargeoffdate__app,Charge Off Date
defaultamount__app,Default Amount
chargeoffamount__app,Charge off amount
applicationmonth__app,Application Month
applicationquarter__app,Application Quarter
applicationdayofweek__app,Application Day
bigdealerid__app,Dealership
bitrolled__app,Rolled
bigdealertypeid__app,Dealership Type
dealerstate__app,Dealer State
bitlhmgroup__app,LHM
dealercity__app,Dealer City
dealerzip__app,Dealer Zip
bitdealerapplicantsamestate__app,Applicant and Dealer Same State
bitdealerapplicantsamecity__app,Applicant and Dealer Same City
bitdealerapplicantsamezip__app,Applicant and Dealer Same Zip
strdealershiptrackertype__app,"Franchise, Independent"
inttype__app,BK Type
fltacquisitionfee__app,Acquisiton Fee
fltaddfee__app,Add Fee
fltallowance__app,Allowance 
fltamountfinanced__app,Amount Financed
fltapprovedapr_contract__app,APR
fltapproveddebttoincome__app,DTI
fltapproveddowntotal__app,Down Total
fltapprovedloantovalue__app,LTV
fltapprovedpayment__app,Payment
fltapprovedpricewholesale__app,Wholesale Price
fltapprovedservicecontract__app,Service Contract
fltdocumentfee__app,Doc Fee
fltdowncash__app,Cash Down
fltgapinsurance__app,Gap Insurance
fltinsureddisabilityamount__app,Insured Disability Amount
fltinsureddisabilitypremium__app,Insured Disability Premium
fltinsuredlifeamount__app,Insured Life Amount
fltinsuredlifepremium__app,Insured Life Premium
fltinsuredunemploymentamount__app,Insured Unemployment Amount
fltinsuredunemploymentpremium__app,Insured Unemployment Premium
fltlicensefee__app,License fee
fltservicecontract__app,Service Contract
flttaxgrossreceipts__app,Tax Amount
intterm__app,Term
inttermbump__app,Term Bump
bitdealertrack__app,From Dealertrack
bitrouteone__app,From Routeone
bitservicecontract__app,Service Contract
intservicecontractterm__app,Service Contract Term
intservicecontractmileage__app,Service Contract Mileage
intservicecontractmileageaddon__app,Service Contract Mileage Add On
bitmaintenanceagreement__app,Maintenance Agreement
fltmaintenanceagreement__app,Maintenance Agreement
bittrade__app,Trade
,Unique ID
,Account ID
,Debtor/Codebtor ID
,Debt Id
,Debt Type
,Employee
,Current
,Invalid
,From Bureau
,Use
,Verified
,Date Creation
,Start Date
,Current Balance
,Original Balance
,Monthly Payment
,Comment
,Creditor
,Method of Payment
,Type
